Date,River,Sample_Type,Sample_Site,Sample_Category,Sample_Category_ID,Event_Number,Sample_Name,Julian_Day,Runoff,Salinity_psu,Lab_pH,Tide,DOC_uM,DOC_SD,TDN_uM,TDN_SD,DON_uM,DON_SD,PO4_uM,PO4_SD,Fe_uM,Fe_SD,Al_uM,Al_SD,SUVA254,SUVA254_SD,Sr,Sr_SD,DOC_DON,DOC_DON_SD,DON_TDN,DON_TDN_SD,Fe_DOC,Fe_DOC_SD,Al_DOC,Al_DOC_SD,Chl-a_uM,Chl-a_SD,PN_uM,PN_SD,PC_uM,PC_SD,del13C_permil,del13C_permil_SD,PC.PN,a350,PC.Chla
18/02/2019,PHR,Ambient,Freshwater,Piper's Hole Freshwater,1,1,E1_PHR1,49,2.699528796,0,,,527.7698553,3.245189214,12.84242016,0.454880985,12.84242016,0.668790624,,,2.538041764,0.03091055,2.349153919,0.054021586,3.719711812,0.063962018,0.765412668,0.023140253,41.12428181,1.210554852,0,0,0.003217222,0.002786602,0.002977695,0.002579632,0.033769212,0.000476923,,,,,,,,,
28/03/2019,PHR,Ambient,Freshwater,Piper's Hole Freshwater,1,2,E2_PHR1,87,2.211763498,0,,,525.2170206,47.90752677,11.96845342,0.959609464,10.32846349,,0,0,2.196188786,0.035814933,1.844190474,0.023274359,3.546488066,0.353503988,0.787265351,0.007052809,53.2776954,,0.632878659,0.548091458,0.004208595,0.000449423,0.003534813,0.000386841,0.050302545,0.000548066,1.713907485,0.289727651,27.21338556,0.250890543,-28.24,,16.12068529,14.95908416,540.9942044
16/05/2019,PHR,Ambient,Freshwater,Piper's Hole Freshwater,1,3,E3_PHR1,136,1.538520942,0,7.626,,484.9223811,10.93376735,11.03665504,0.701011182,9.715766147,0.740355577,0,0,1.72571165,0.028584627,1.845595778,0.032610033,3.529373187,0.074959337,0.816134021,0.004930334,50.14987835,4.185503213,0.966180293,0.002728616,0.003559708,8.52417E-05,0.003820244,5.01623E-05,0.048893333,0.002321328,1.55639801,0.121160321,20.06882007,0.555804723,-28.6843129,0.236875113,12.79603254,13.1655,410.4612777
18/06/2019,PHR,Ambient,Freshwater,Piper's Hole Freshwater,1,4,E4_PHR1,169,2.060497382,0,7.583333333,,635.5021136,10.58905323,14.09719978,0.391548079,14.0628077,1.091600155,0,0,2.346129955,0.079950092,2.212946486,0.068171039,3.415014619,0.055273165,0.768670865,0.002890599,44.96280473,0.869129525,0,0,0.003656803,0.000130867,0.003449206,0.000112153,0.054326667,0.001404754,1.838405906,0.126208668,26.94527695,0.312418977,-27.1849191,0.977671418,14.77030026,17.02428778,495.9861998
16/07/2019,PHR,Ambient,Freshwater,Piper's Hole Freshwater,1,5,E5_PHR1,197,0.681585079,0,7.287666667,,583.7359512,5.380176608,15.598485,0.42200225,13.87324446,0.423282588,0,0,2.763229103,0.048928269,1.099816737,0.017284736,3.141185596,0.017042465,0.816389685,0.009659241,41.89542269,1.698406638,0,0,0.00473395,9.33973E-05,0.001876764,4.54959E-05,0.028873939,0.001092032,1.410039481,0.075725201,22.37,0.058866698,-27.42,0.476785101,16.02,13.77465242,774.7470719
12/08/2019,PHR,Ambient,Freshwater,Piper's Hole Freshwater,1,6,E6_PHR1,224,0.791289267,0,7.3325,,641.5709749,1.009624752,16.70988391,0.159244556,15.12111049,0.215256716,0,0,3.993288006,0.061818522,1.546500871,0.089730723,3.512878135,0.005584448,0.789378715,0.001086398,42.39041178,0.060743886,0.952765449,0.001599649,0.006224202,9.27115E-05,0.002410534,0.000141021,0.028129293,0.001407367,1.39219088,0.117794757,16.94601695,0.795769646,-26.65736606,0.97869101,12.46229768,17.0896418,602.4330931
6/09/2019,PHR,Ambient,Freshwater,Piper's Hole Freshwater,1,7,E7_PHR1,249,1.306585131,0,7.435333333,,902.334753,3.560503759,18.3254102,0.449821343,18.06946937,,0,0,5.32767497,0.106505282,2.815660666,0.127702548,3.529467486,0.028123453,0.757087166,0.001077061,49.82764862,0.552499845,0.660695223,0.572178924,0.005904692,0.000140985,0.003120793,0.000152659,0.063853333,0.004915282,2.730835957,0.176692135,32.07903208,1.103129049,-27.05312539,0.379805556,11.75053968,24.71031998,502.3861779
14/09/2019,PHR,Ambient,Freshwater,Piper's Hole Freshwater,1,8,E8_PHR1,267,0.992521593,0,7.758,,689.6241683,8.140460339,15.01158646,0.476452258,14.25424377,0.477073112,0,0,3.581553139,0.090330056,1.74990936,0.035379441,3.247226915,0.047694667,0.792588155,0.00216245,48.20477737,0.609006348,0,0,0.005194816,0.000185098,0.002537733,6.00556E-05,0.052426667,0.00046188,2.659441553,0.27765907,35.95016095,2.343727654,-27.41288423,0.404173442,13.52681182,16.64310123,685.7228055
21/09/2019,PHR,Ambient,Freshwater,Piper's Hole Freshwater,1,9,E9_PHR1,264,0.646956101,0,7.78,,578.9938631,5.782358611,14.22228496,0.45793484,13.22835297,0.595579749,0,0,2.897836651,0.131135627,1.276593571,0.010233867,3.157478707,0.041654796,0.827611316,0.017383669,43.77008807,3.321710227,0.642195312,0.556164639,0.005003887,0.000182187,0.002204935,1.9899E-05,0.046426667,0.00023094,2.320318133,0.050483467,28.88777889,2.162900609,-27.0339064,1.157653701,12.19613731,13.2286557,622.2238416
15/10/2019,PHR,Ambient,Freshwater,Piper's Hole Freshwater,1,10,E10_PHR1,288,1.009751309,0,7.360333333,,618.3717827,11.26699195,13.86230496,0.253122011,12.60457493,0.259452072,0,0,3.25015224,0.113733493,1.617093014,0.05812128,3.417427997,0.044907335,0.81419482,0.01142848,48.77095222,0.311397755,0,0,0.005255582,0.000134701,0.002615907,0.000113397,0.047133333,0.001006645,1.659919895,0.075725201,25.67,0.412066889,-28.23,0.848824428,15.41,15.54439268,544.6251768
